t700liblg112	496	687
t700liblg114	563	619
t700liblg115	333	539
t700liblg116	368	448
t700liblg117	473	248
t700liblg118	503	327
t700liblg119	481	138
t700liblg120	594	345
t700liblg121	616	251
t700liblg136	378	627
t700liblg133	553	638
t700liblg132	667	641
t700liblg131	556	721
t700liblg130	468	721
t700liblg135	600	788
t700liblg128	549	837
t700liblg126	550	993
t700liblg124	469	902
t700liblg123	379	983
t700liblg125	465	981
t700liblg113	538	1032
t700liblg109	662	997
t700liblg108	676	1077
t700liblg107	677	1177
t700liblg106	668	1272
t700liblg105	554	1143
t700liblg104	472	1183
t700liblg103	480	1305
t700liblg102	559	1294
t700liblg101	655	1361
t601all10g1	410	1361
