name,x,y
t142liblg317,400,432
t142liblg316,373,494
t142liblg318,468,231
t142liblg320,529,147
t142liblg319,589,299
t142liblg310,381,607
t142liblg311,492,564
t142liblg313,612,561
t142liblg312,684,486
t142liblg308,424,850
t142liblg314,603,753
t142liblg306,377,1036
t142liblg307,405,981
t142liblg315,610,982
t142liblg301,670,1140
t142liblg302,631,1285
t142liblg305,500,1248
t142liblg304,520,1336
t142liblg303,490,1404
t601all10lg3,410,1385
