name,x,y
t700lib112,340,683
t700lib111,380,670
t700lib110,398,684
t700lib108,312,780
t700lib107,352,828
t700lib106,416,817
t700lib105,340,892
t700lib104,382,967
t700lib103,380,1045
t700lib101,518,1279
t700lib102,518,1020
t700lib113,495,610
t700lib114,557,482
t700lib115,588,674
t700lib116,600,820
t700lib117,642,1048
t700lib071,655,648
t700lib109,704,478
